GAME,TEAM,STUDIO
Uno,Classic Games,Nova
Cryptogram,Classic Games,Nova
GinRummy,Classic Games,Nova
Spades,Classic Games,Nova
Black jack,Classic Games,Nova
Solitaire,Classic Games,Nova
Solitaire classic,Classic Games,Nova
Woodoku,Blocks Family,Nova
Woodoku Blast,Blocks Family,Nova
Squish,Tiles Family,Nova
Mahjong,Tiles Family,Nova
Tidal Tile,Tidal Tile,Mythos
MossaicMatch,Tiles Family,Nova
Blossom Match,Tiles Family,Nova
Jelly,Tiles Family,Nova
Tile Dynasty,Tiles Family,Nova
Triple Tile,Tiles Family,Nova
Dominovalley,Tiles Family,Nova
Sort & Knit,Zephyr,Zephyr
Color Maze,Zephyr,Zephyr
Block Away,Zephyr,Zephyr
Math Crossword,Zephyr,Zephyr
Get Color,Zephyr,Zephyr
Nuts Sort,Zephyr,Zephyr
Balls Sort,Zephyr,Zephyr
Hey Color,Zephyr,Zephyr
Loki,JKT,Ludios
Tantular,JKT,Ludios
Piper’s Pet Cafe,JKT,Ludios
Word Blast,Cerberus,Ludios
Marble Mash,Cerberus,Ludios
Hexago,Cerberus,Ludios
BubbleGo,Cerberus,Ludios
Block Kingdom,Cerberus,Ludios
Lucky Tiles,Tiles Family,Nova
Sortago,Reactor,Reactor
Wordhop,Reactor,Reactor
Offline Games,Reactor,Reactor
Numpuzzle,Reactor,Reactor
Solitaire Spider,AdTech,Reactor
Solitaire Spades,AdTech,Reactor
Sudoku,AdTech,Reactor
Block Family,Block Family,Mythos
Crypto,Classic Games,Nova
Aqua Sort,Tidal Tile,Mythos
Car out,Zephyr,Zephyr
Blocktava,Cerberus,Ludios
Fluffy Match,Tidal Tile,Mythos
